-5, 7.5, 100, 7.5
-5, 7.5, -5, -1.5
-5, -1.5, 100, -1.5
100, 7.5, 100, -1.5
9.5, -1.5, 10.5, -1.5
10.5, -1.5, 10.5, -0.5
9.5, -0.5, 10.5, -0.5
9.5, -1.5, 9.5, -0.5
19.5, 5.0, 20.5, 5.0
20.5, 5.0, 20.5, 7.0
19.5, 7.0, 20.5, 7.0
19.5, 5.0, 19.5, 7.0
29.5, -1.0, 30.5, -1.0
30.5, -1.0, 30.5, 1.0
29.5, 1.0, 30.5, 1.0
29.5, -1.0, 29.5, 1.0
39.0, 4.5, 41.0, 4.5
41.0, 4.5, 41.0, 5.5
39.0, 5.5, 41.0, 5.5
39.0, 4.5, 39.0, 5.5
49.0, -1.5, 51.0, -1.5
51.0, -1.5, 51.0, 2.5
49.0, 2.5, 51.0, 2.5
49.0, -1.5, 49.0, 2.5
64.0, 5.0, 66.0, 5.0
66.0, 5.0, 66.0, 7.0
64.0, 7.0, 66.0, 7.0
64.0, 5.0, 64.0, 7.0
74.0, 2.0, 76.0, 2.0
76.0, 2.0, 76.0, 4.0
74.0, 4.0, 76.0, 4.0
74.0, 2.0, 74.0, 4.0
82.0, 4.0, 84.0, 4.0
84.0, 4.0, 84.0, 6.0
82.0, 6.0, 84.0, 6.0
82.0, 4.0, 82.0, 6.0
94.0, -1.0, 96.0, -1.0
96.0, -1.0, 96.0, 1.0
94.0, 1.0, 96.0, 1.0
94.0, -1.0, 94.0, 1.0
